"","participant","group","she","they","effect","x14_if_you_answered_yes_to_the_previous_question_what_percentage_of_that_content_takes_place_on_a_daily_basis_content","x16_if_you_anwered_yes_to_the_previous_question_what_percentage_of_that_content_takes_place_on_a_daily_basis_content","x18_if_you_answered_yes_to_the_previous_questions_what_percentage_of_that_content_takes_place_on_a_daily_basis_content","x20_si_la_respuesta_a_la_pregunta_anterior_es_si_que_porcentaje_de_ese_contenido_sucede_diariamente_contenido","x22_if_you_answered_yes_to_the_previous_question_how_much_time_a_day_do_you_devote_to_that_activity","x23_when_you_listen_to_or_read_social_media_networks_in_english_how_much_of_that_daily_content_has_to_do_with_inclusive_language_in_english_content","x24_when_you_listen_to_or_read_social_media_networks_in_english_how_much_of_that_content_has_to_do_with_neutral_language_in_english_on_a_daily_basis_content","x25_if_you_answered_yes_to_the_previous_question_how_much_time_a_day_do_you_devote_to_that_activity","x26_when_you_create_social_media_content_in_english_how_much_of_that_content_has_to_do_with_inclusive_language_in_english_content"
"1","ADV_EN_16","L2_advanced",-0.4927759328006,-0.460782446210232,-0.031993486590368,"10%","10%","10%","un 10%","over 4 hours","25%","25%","","none"
"2","ADV_EN_17","L2_advanced",-1.04692332023494,-0.984292146377424,-0.0626311738575199,"un 10%","","","","más de 4","un 25%","un 25%","",""
"3","ADV_EN_18","L2_advanced",-1.30723491251998,-1.00988713624235,-0.297347776277632,"","","","un 50 %","entre dos y 3","un 25%","un 25%","","nada"
"4","ADV_EN_19","L2_advanced",-1.0919055082975,-1.0550168158913,-0.036888692406204,"un 10%","un 10%","","un 25%","más de 4","un 50 %","un 50 %","","un 25%"
"5","ADV_EN_20","L2_advanced",-0.563939774014509,-0.498183378981222,-0.0657563950332874,"un 25%","un 50 %","un 50 %","un 50 %","media hora","nada","nada","",""
"6","ADV_EN_21","L2_advanced",-0.698840714023537,-0.775041580132552,0.0762008661090149,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","ADV_EN_22","L2_advanced",-0.950705354192444,-1.07702015569055,0.126314801498108,"","","","","entre 1 y dos horas","un 25%","un 25%","","nada"
"8","ADV_EN_23","L2_advanced",-0.575057276034865,-0.667936936300603,0.092879660265738,"","","","","media hora","nada","nada","media hora","nada"
"9","ADV_EN_24","L2_advanced",-0.833356708447055,-0.91304634003719,0.0796896315901358,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","ADV_EN_25","L2_advanced",-0.572729073736799,-0.41911218996677,-0.153616883770029,"","","","","between 1 or 2 hours","25%","25%","",""
"11","ADV_EN_26","L2_advanced",-0.854432423457873,-0.823637113638328,-0.0307953098195451,"","","","","over 4 hours","75%","25%","","25%"
"12","ADV_EN_28","L2_advanced",-0.5577807683583,-0.586646766328129,0.0288659979698284,"","","","","between 2 or 3 hours","none","none","half an hour","none"
"13","ADV_EN_30","L2_advanced",-0.563205346100068,-0.516427828560497,-0.0467775175395714,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","ANC_JADV_01","L2_advanced",-0.812342773578645,-0.478327964335583,-0.334014809243062,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","INC_J_02","L2_advanced",-0.757955870113561,-0.58457034029287,-0.173385529820692,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","INC_J_ADC_05","L2_advanced",-0.62211289782656,-0.452653725519009,-0.169459172307551,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","INC_J_ADV_011","L2_advanced",-0.765748735455317,-0.929340712689007,0.16359197723369,"","","","un 50 %","entre dos y 3","un 50 %","un 50 %","",""
"18","INC_J_ADV_02","L2_advanced",-1.13409171152123,-1.26531684736977,0.131225135848537,"un 25%","","","un 50 %","entre dos y 3","un 50 %","un 50 %","",""
"19","INC_J_ADV_03","L2_advanced",-0.476769194506179,-0.523118648484595,0.0463494539784164,"","","","","entre 1 y dos horas","nada","nada","",""
"20","INC_J_ADV_06","L2_advanced",-0.700639406736963,-0.650299131743197,-0.0503402749937658,"","","","","media hora","nada","un 50 %","",""
"21","INC_J_ADV_07","L2_advanced",-0.616359499939208,-0.616799020539869,0.000439520600660104,"un 75%","","100 %","100 %","entre dos y 3","un 50 %","un 50 %","",""
"22","INC_J_SDV_04","L2_advanced",-0.739320930196869,-0.766679105213593,0.0273581750167238,NA,NA,NA,NA,NA,NA,NA,NA,NA
