"","participant","group","she","they","effect","x14_if_the_previous_answer_is_yes_what_percentage_of_language_includes_gender_neutral_language_daily_content","x16_if_the_previous_answer_is_yes_what_percentage_of_language_includes_inclusive_gender_language_daily_content","x18_if_the_previous_answer_is_yes_what_percentage_of_that_content_happens_daily_contenido","x20_if_the_previous_answer_is_yes_what_percentage_of_that_content_happens_daily_contenido","x22_if_the_previous_answer_is_yes_what_percentage_of_that_content_happens_daily","x23_how_much_of_that_content_includes_neutral_gender_language_daily_when_you_listen_to_or_read_social_media_content","x24_do_you_make_content_videos_podcasts_tik_tok_etc_on_social_networks","x25_if_the_previous_answer_is_yes_what_percentage_of_that_content_happens_daily","x26_when_you_make_social_media_content_how_much_does_that_content_have_to_do_with_inclusive_gender_language_content","x29_if_your_answer_to_question_28_is_yes_what_percentage_of_that_content_happens_daily_content","x32_if_your_answer_to_question_30_is_yes_what_percentage_of_that_content_happens_daily_contenido"
"16","L2SPAN_2023_36","L1",-1.3870473619829,-1.4617798325508,0.0747324705679009,"10%","10%","","","between 1-2 hours","25%","no","","25%","10%",""
"17","L2SPAN_2023_40","L1",-1.21925243773096,-1.29230225941114,0.0730498216801827,"100 %","50 %","100 %","100 %","between 1-2 hours","100 %","no","","","10%",""
"18","L2SPAN_2023_41","L1",-0.786369858557564,-0.85387672454221,0.0675068659846453,"75%","50 %","50 %","75%","more than 4 hours","25%","yes","around 30 minutes","75%","25%",""
"19","L2SPAN_2023_42","L1",-0.533999002966937,-0.522585118887679,-0.0114138840792586,"","25%","10%","50 %","around 30 minutes","50 %","no","","","",""
"20","L2SPAN_2023_44","L1",-1.24695878241,-1.28674692858572,0.0397881461757252,"","","","","around 30 minutes","25%","yes","around 30 minutes","0%","",""
"21","L2SPAN_2023_45","L1",-1.31068999657202,-1.30640805114634,-0.00428194542567129,"50 %","75%","50 %","","between 2-3 hours","25%","no","","","",""
"22","L2SPAN_2023_46","L1",-1.13248264504322,-1.28118766293574,0.148705017892517,"","","10%","10%","between 1-2 hours","25%","no","","","25%",""
"23","L2SPAN_2023_47","L1",-0.913295222894357,-1.16456626767535,0.251271044780993,"10%","10%","","","between 1-2 hours","0%","no","","","",""
"24","L2SPAN_2023_49","L1",-1.33008487026404,-1.38483854495009,0.0547536746860475,"","","","","between 1-2 hours","0%","no","","0%","",""
"25","L2SPAN_2023_63","L1",-0.946501819678349,-0.906660409638832,-0.0398414100395169,"50 %","50 %","50 %","50 %","between 1-2 hours","25%","yes","around 30 minutes","25%","50 %","25%"
"26","L2SPAN_2023_68","L1",-1.40053781554717,-1.46296125664571,0.062423441098546,"25%","50 %","","10%","between 1-2 hours","25%","no","","","10%",""
"27","L2SPAN_2023_70","L1",-0.897926509176375,-0.947825463417812,0.0498989542414374,"75%","","50 %","50 %","around 30 minutes","25%","no","","","",""
"28","L2SPAN_2023_74","L1",-1.2374137328231,-1.28372943588484,0.046315703061744,"25%","25%","75%","50 %","between 1-2 hours","50 %","no","","","10%",""
"29","L2SPAN_2023_77","L1",-1.13488451151975,-1.12735577695807,-0.00752873456168324,"25%","50 %","25%","50 %","between 1-2 hours","25%","no","","0%","",""
"30","L2SPAN_2023_82","L1",-1.27727083784217,-1.31695257140023,0.039681733558059,"50 %","25%","50 %","25%","between 2-3 hours","50 %","no","","","",""
