"","participant","group","she","they","effect","x14_if_the_previous_answer_is_yes_what_percentage_of_language_includes_gender_neutral_language_daily_content","x16_if_the_previous_answer_is_yes_what_percentage_of_language_includes_inclusive_gender_language_daily_content","x18_if_the_previous_answer_is_yes_what_percentage_of_that_content_happens_daily_contenido","x20_if_the_previous_answer_is_yes_what_percentage_of_that_content_happens_daily_contenido","x22_if_the_previous_answer_is_yes_what_percentage_of_that_content_happens_daily","x23_how_much_of_that_content_includes_neutral_gender_language_daily_when_you_listen_to_or_read_social_media_content","x24_do_you_make_content_videos_podcasts_tik_tok_etc_on_social_networks","x25_if_the_previous_answer_is_yes_what_percentage_of_that_content_happens_daily","x26_when_you_make_social_media_content_how_much_does_that_content_have_to_do_with_inclusive_gender_language_content","x29_if_your_answer_to_question_28_is_yes_what_percentage_of_that_content_happens_daily_content","x32_if_your_answer_to_question_30_is_yes_what_percentage_of_that_content_happens_daily_contenido"
"1","Ally Fiengo","L1",-0.997272314898411,-1.05084695395409,0.0535746390556744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","ENGNATIVE_2023_04","L1",-0.547222730950497,-0.645664196629422,0.0984414656789256,"50 %","25%","10%","10%","between 1-2 hours","25%","no","","","",""
"3","L2SPAN_2023_02","L1",-1.10457366675104,-0.967444078020849,-0.137129588730188,"75%","75%","75%","75%","around 30 minutes","75%","no","","","",""
"4","L2SPAN_2023_04","L1",-0.838129025473932,-0.917100895684024,0.078971870210092,"50 %","25%","10%","25%","more than 4 hours","50 %","no","","","",""
"5","L2SPAN_2023_05","L1",-0.765760160947193,-0.70563115722282,-0.0601290037243736,"50 %","75%","50 %","50 %","between 2-3 hours","50 %","no","","","25%",""
"6","L2SPAN_2023_12","L1",-1.04772965575213,-1.03803959454423,-0.0096900612079025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","L2SPAN_2023_19","L1",-1.28736038168752,-1.12788348150332,-0.1594769001842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","L2SPAN_2023_20","L1",-0.924540207256857,-1.02397161266779,0.0994314054109345,"","","","10%","between 2-3 hours","25%","yes","around 30 minutes","0%","",""
"9","L2SPAN_2023_24","L1",-0.967936680417068,-0.96871089498212,0.000774214565052112,"","","","","between 1-2 hours","0%","no","","","",""
"10","L2SPAN_2023_25","L1",-1.11640460787268,-1.15261239291028,0.0362077850375999,"","","","","between 1-2 hours","25%","no","","","",""
"11","L2SPAN_2023_26","L1",-1.26163677586787,-1.33969046866321,0.0780536927953464,"","","","","between 1-2 hours","75%","no","","","50 %",""
"12","L2SPAN_2023_27","L1",-1.08377671138344,-0.846832163610153,-0.236944547773292,"10%","10%","10%","10%","between 1-2 hours","25%","yes","around 30 minutes","25%","50 %",""
"13","L2SPAN_2023_28","L1",-1.11987329498755,-1.07438967050511,-0.0454836244824406,"50 %","25%","50 %","","between 1-2 hours","50 %","no","","","50 %",""
"14","L2SPAN_2023_29","L1",-1.28934280687049,-1.21891119252504,-0.0704316143454442,"50 %","50 %","50 %","50 %","between 2-3 hours","50 %","no","","","25%",""
"15","L2SPAN_2023_30","L1",-1.03030766408541,-1.09938250985263,0.0690748457672234,"50 %","25%","10%","","between 1-2 hours","25%","no","","","10%",""
