Marca temporal,Puntuación,1. Participant's code,2. Age,3. Sex ,4. Term/Semester,5. Number of years in College,6. How old were you when you started studying English? Write answer below,7. Have you ever lived or visited an English-speaking country?,"8. If you answered Yes, choose the most precise option for your experience",9. Do you use English in the following situations? Check the circle that best describes your experience [interacting with close family],9. Do you use English in the following situations? Check the circle that best describes your experience [interacting with extended family ],9. Do you use English in the following situations? Check the circle that best describes your experience [interacting with friends (outside university)],9. Do you use English in the following situations? Check the circle that best describes your experience [reading books that are not part of current studies],9. Do you use English in the following situations? Check the circle that best describes your experience [watching movies ( with no subtitles)],"10. Do you know the use of  inclusive language in English? i.e. using words like ""humankind"" instead of ""men"" or ""women""?","11. Do you know how to use neutral language in inglés? i.e. using  ""they"" instead of ""he"" or ""she"" when a person identifies themselves as non-binary? ","12. If you answered Yes to questions 10 and 11, when did you start using this kind of language in English? Write your answer below ",13. Do you listen to or read information that uses inclusive language in English at the university?,"14. If you answered Yes to the previous question,  what percentage of that content takes place on a daily basis?  [content]",15. Do you listen to or read information that uses neutral language in English at the university?,"16. If you anwered Yes to the previous question, what percentage of that content takes place on a daily basis? [content]",17. Do you write or speak using inclusive language in English at the university?,"18. If you answered Yes to the previous questions, what percentage of that content takes place on a daily basis? [content]",19. Do you write or speak using neutral language in English at the university?,"20. Si la respuesta a la pregunta anterior es sí, ¿qué porcentaje de ese contenido sucede diariamente?  [contenido]",21. Do you read or listen to social media/networks in English?,"22. If you answered Yes to the previous question, how much time a day do you devote to that activity?","23. When you listen to or read social media/networks in English, how much of that daily content has to do with inclusive language in English ? [content]","24. When you listen to or read social media/networks in English, how much of that content has to do with neutral language in English on a daily basis? [content ]","25. Do you create social media content n English? (doing videos, podcasts, tiktok, etc.)  ","25. If you answered Yes to the previous question, how much time a day do you devote to that activity?","26. When you create social media content in English, how much of that content has to do with inclusive language in English? [content]","27. When you create social media content in English,  how much of that context has to do with neutral language in English? [content]",28. Do you listen to or read information that uses inclusive language in Spanish?,"29. If your answer is Yes, can you provide and example (or more) in Spanish?","30. If you answered Yes to question 28, how much of that content takes place on a daily basis? [content]",31. Do you speak or write information using inclusive language in Spanish ?,"32. If you answered Yes to the previous question,  Can you provide and example (or more) in Spanish ?","33. If you answered Yes to question 31, what percentage of that content takes place on a daily basis?  [content]","34. In regards to the use of social media in  Spanish, ¿what percetage of inclusive language ins Spanish do you use a day? [content]",Kate is tipsy because they had two drinks earlier ,  James was studying by themself in the library yesterday ,Someone hit me. They were very strong,Ruth is angry because they lost the job yesterday ,Someone scared me. They had a bloody face,Judy is confused because they lost the map eralier. ,Someone shushed me. They had an orange shirt on.,Scott was drinking by themself at the bar earlier ,Hugh was stretching by themself at the gym earlier. ,Martha is tired because they read two novels earlier ,Blake was fishing by themself in the river yesterday ,"
Someone photographed me. They had a watch on "
4/07/2023 17:55:03,,Prueba1,30,,1,1,,sí,entre 1 y 3 semanas,sí,sí,sí,sí,sí,,,,sí,,,un 10%,,,,,sí,media hora,nada,,sí,media hora,nada,,sí,,un 10%,sí,,un 10%,un 10%,,,1,,1,,1,,,,,1
4/07/2023 17:55:52,,Prueba2,31,,2,2,,no,entre 1 y 2 meses,no,no,no,no,no,,,,no,,,un 25%,,,,,no,entre 1 y dos horas,un 25%,,no,entre 1 y dos horas,un 25%,,no,,un 25%,no,,un 25%,un 25%,,,2,,2,,2,,,,,2
20/07/2023 9:17:11,,INC_J_BEG_011,18,M,primer semestre,primer año,a los 12 años,no,,a veces,no,a veces,sí,sí,no,sí,"solo tengo una en si, y la empeze a usar cuando tenia 16",no,,sí,un 50 %,no,,sí,un 75%,no,,un 50 %,100 %,no,,nada,nada,sí,el es bastante capaz,un 50 %,no,,,un 10%,3,5,2,5,3,5,4,5,3,5,4,5
20/07/2023 9:19:13,,INC_J_BEG_02,20,F,Primer semestre,primer año,15 años,no,,a veces,no,a veces,a veces,no,no,no,,no,,no,,no,,no,,sí,más de 4,nada,nada,no,,,,no,,,no,,,,2,1,1,1,1,2,2,3,2,1,3,2
20/07/2023 9:19:34,,INC_J_ADV_011,24,F,NOVENO,7,10,no,,no,no,a veces,sí,sí,no,no,,no,,no,,no,,sí,un 50 %,sí,entre dos y 3,un 50 %,un 50 %,no,,,,no,,,no,,,un 50 %,2,1,1,2,1,1,1,2,2,2,1,1
20/07/2023 9:19:47,,INC_J_BEG_07,19,F,1ro,0,13,no,,no,no,sí,sí,sí,sí,sí,15,sí,un 25%,no,,sí,un 10%,no,,sí,más de 4,un 50 %,un 50 %,no,,,,no,,,no,,,,4,4,4,4,4,4,4,4,4,4,4,4
20/07/2023 9:21:25,,INC_J_BEG_014 ,18,F,1º semestre ,,9 años,no,,no,no,no,sí,sí,sí,sí,Nunca he tenido la necesidad de usarlo,no,,no,,no,,no,,sí,más de 4,un 50 %,un 50 %,no,,,,no,,,,,,,5,1,5,4,5,4,2,1,1,3,1,3
20/07/2023 9:21:31,,INC_J_ADV_02,22,M,Noveno ,4 (+ 1 semestre),10,no,,no,no,sí,sí,sí,sí,sí,20,sí,un 25%,no,,no,,sí,un 50 %,sí,entre dos y 3,un 50 %,un 50 %,no,,,,sí,elle es una gran persona.,un 50 %,sí,,un 50 %,un 50 %,4,3,4,4,5,5,5,3,3,5,3,5
20/07/2023 9:22:48,,INC_J_BEG_013,20,F,PRIMER,0,4,sí,entre 3 y 6 meses,a veces,no,a veces,sí,sí,no,sí,19,no,,no,,no,,no,,sí,entre 1 y dos horas,un 25%,nada,no,,nada,nada,sí,podcast en spotify,un 10%,no,,,un 10%,3,3,5,3,5,3,5,3,3,3,3,5
20/07/2023 9:23:57,,INC_J_ADV_03,23,F,noveno,5,16,no,,a veces,no,a veces,sí,sí,no,sí,22,no,,no,,no,,no,,sí,entre 1 y dos horas,nada,nada,no,,,,no,,,no,,,un 10%,1,5,3,5,2,3,2,5,5,1,1,2
