Marca temporal,Puntuación,1. Participant's code,2. Age,3. Sex ,4. Term/Semester,5. Number of years in College,6. How old were you when you started studying English? Write answer below,7. Have you ever lived or visited an English-speaking country?,"8. If you answered Yes, choose the most precise option for your experience",9. Do you use English in the following situations? Check the circle that best describes your experience [interacting with close family],9. Do you use English in the following situations? Check the circle that best describes your experience [interacting with extended family ],9. Do you use English in the following situations? Check the circle that best describes your experience [interacting with friends (outside university)],9. Do you use English in the following situations? Check the circle that best describes your experience [reading books that are not part of current studies],9. Do you use English in the following situations? Check the circle that best describes your experience [watching movies ( with no subtitles)],"10. Do you know the use of  inclusive language in English? i.e. using words like ""humankind"" instead of ""men"" or ""women""?","11. Do you know how to use neutral language in inglés? i.e. using  ""they"" instead of ""he"" or ""she"" when a person identifies themselves as non-binary? ","12. If you answered Yes to questions 10 and 11, when did you start using this kind of language in English? Write your answer below ",13. Do you listen to or read information that uses inclusive language in English at the university?,"14. If you answered Yes to the previous question,  what percentage of that content takes place on a daily basis?  [content]",15. Do you listen to or read information that uses neutral language in English at the university?,"16. If you anwered Yes to the previous question, what percentage of that content takes place on a daily basis? [content]",17. Do you write or speak using inclusive language in English at the university?,"18. If you answered Yes to the previous questions, what percentage of that content takes place on a daily basis? [content]",19. Do you write or speak using neutral language in English at the university?,"20. Si la respuesta a la pregunta anterior es sí, ¿qué porcentaje de ese contenido sucede diariamente?  [contenido]",21. Do you read or listen to social media/networks in English?,"22. If you answered Yes to the previous question, how much time a day do you devote to that activity?","23. When you listen to or read social media/networks in English, how much of that daily content has to do with inclusive language in English ? [content]","24. When you listen to or read social media/networks in English, how much of that content has to do with neutral language in English on a daily basis? [content ]","25. Do you create social media content n English? (doing videos, podcasts, tiktok, etc.)  ","25. If you answered Yes to the previous question, how much time a day do you devote to that activity?","26. When you create social media content in English, how much of that content has to do with inclusive language in English? [content]","27. When you create social media content in English,  how much of that context has to do with neutral language in English? [content]",28. Do you listen to or read information that uses inclusive language in Spanish?,"29. If your answer is Yes, can you provide and example (or more) in Spanish?","30. If you answered Yes to question 28, how much of that content takes place on a daily basis? [content]",31. Do you speak or write information using inclusive language in Spanish ?,"32. If you answered Yes to the previous question,  Can you provide and example (or more) in Spanish ?","33. If you answered Yes to question 31, what percentage of that content takes place on a daily basis?  [content]","34. In regards to the use of social media in  Spanish, ¿what percetage of inclusive language ins Spanish do you use a day? [content]",Kate is tipsy because they had two drinks earlier ,  James was studying by themself in the library yesterday ,Someone hit me. They were very strong,Ruth is angry because they lost the job yesterday ,Someone scared me. They had a bloody face,Judy is confused because they lost the map eralier. ,Someone shushed me. They had an orange shirt on.,Scott was drinking by themself at the bar earlier ,Hugh was stretching by themself at the gym earlier. ,Martha is tired because they read two novels earlier ,Blake was fishing by themself in the river yesterday ,"
Someone photographed me. They had a watch on "
20/07/2023 9:24:29,,inc_j_beg_04,18,M,primero,0,9,no,,no,no,sí,a veces,sí,no,sí,9-10,no,,sí,un 50 %,no,,sí,un 10%,sí,más de 4,un 25%,un 50 %,no,,,,sí,"lo mas comun es cuando usan la palabra ""persona"" para englobar ",un 25%,sí,"ellxs (normalmente uso la ""x"" porque es mas facil para mi conjugar palabras de ese estilo)",un 50 %,un 25%,2,5,1,3,4,3,2,2,5,4,4,2
20/07/2023 9:24:31,,INC_J_BEG_05,19,M,Primero,0,14,sí,entre 1 y 2 meses,no,sí,sí,sí,a veces,no,sí,14,sí,un 75%,sí,un 75%,sí,un 50 %,sí,un 75%,sí,más de 4,un 50 %,un 50 %,no,,nada,nada,no,,,no,,,un 10%,1,5,5,5,4,4,4,5,5,5,5,5
20/07/2023 9:24:32,,INC_J_BEG_012,18,F,PRIMER,1,16,no,,no,no,a veces,sí,sí,sí,sí,17,sí,un 50 %,sí,un 50 %,sí,un 25%,no,un 10%,sí,más de 4,un 25%,un 25%,no,,nada,nada,no,,un 10%,no,,un 10%,un 10%,3,4,3,1,3,1,5,4,2,1,3,4
20/07/2023 9:25:03,,INC_J_BEG_8,21,F,1 SEMESTRE,MEDIO AÑO ,20,no,,a veces,a veces,a veces,sí,sí,no,sí,21,no,,no,,no,,sí,,sí,entre 1 y dos horas,nada,un 25%,no,,,,no,,,no,,,un 10%,5,5,4,4,4,4,3,3,4,4,4,3
20/07/2023 9:25:21,,INC_J_BEG_010,19,M,1,1,"Inglés básica 4to, no recuerdo",no,,a veces,no,sí,a veces,sí,no,no,,no,,no,,no,,no,,sí,entre 1 y dos horas,nada,nada,no,,nada,nada,no,,,no,,,,1,1,1,1,1,1,3,2,2,1,2,2
20/07/2023 9:27:11,,INC_J_BEG_09,20,F,PRIMER,MEDIO AÑO,13,no,,no,no,a veces,no,sí,no,no,,no,,no,,no,,no,,sí,entre dos y 3,nada,nada,no,,nada,,sí,"ELLXS, NOSOTRXS, LXS",,no,,,,1,4,1,1,4,3,3,4,3,2,4,2
20/07/2023 9:28:03,,INC_J_ADV_07,25,M,9,6,8,no,,no,no,a veces,a veces,sí,sí,sí,17,sí,un 75%,no,,sí,100 %,sí,100 %,sí,entre dos y 3,un 50 %,un 50 %,no,,,,sí,Uso de ambos morfemas flexivos de género (o y a),100 %,sí,"Uso del pronombre neutro ""elle""",100 %,un 50 %,5,5,5,5,5,4,5,5,5,5,5,5
20/07/2023 9:29:34,,INC_J_ADV_01,23,F,11,6,17,sí,entre 1 y 3 semanas,a veces,no,sí,sí,sí,sí,sí,21,sí,un 25%,sí,un 50 %,no,,sí,un 50 %,sí,media hora,un 50 %,un 25%,no,,nada,nada,sí,"Usualmente en twitter, la gran mayoría utiliza lenguaje no excluyente.",un 75%,sí,"Es importante no excluir a nadie nunca, en especial si se conversa con alguien que se considera no binario o género fluido.",un 50 %,un 50 %,4,4,4,4,4,4,4,4,4,4,4,4
20/07/2023 9:31:26,,INC_J_BEG_03,19,F,1,0,7,no,,a veces,no,sí,a veces,a veces,sí,sí,11,sí,un 75%,no,,sí,un 50 %,sí,un 50 %,sí,entre dos y 3,un 75%,un 75%,no,,,,sí,Cualquier tipo de información o tema que trate a la humanidad o a las personas en general,un 75%,no,,,un 50 %,5,4,5,5,5,5,5,4,4,5,4,5
20/07/2023 9:31:27,,INC_J_ADV_04,25,otro,13,7,19,no,,no,no,sí,sí,sí,sí,sí,22,sí,un 50 %,sí,un 50 %,sí,100 %,sí,100 %,sí,entre dos y 3,un 75%,un 75%,no,,un 75%,100 %,sí,"teoría marica, redes sociales que son de la comunidad sexo-género disidente, periodismo no excluyente.",100 %,sí,"en las traducciónes que realizo intento usar en su gran mayoría un lenguaje no excluyente, procurando desmasculinizar el discurso escrito. en los posteos de redes sociales y en mi vida cotidiana intento no asumir la identidad de género de las personas con quienes me comunico.",100 %,100 %,2,2,2,1,5,2,5,2,2,2,2,5
20/07/2023 9:32:07,,INC_J_BEM_06,18,F,1,0,7,no,,a veces,no,a veces,a veces,no,no,sí,17,sí,un 25%,no,,sí,un 25%,sí,un 25%,sí,media hora,un 25%,nada,no,,,,no,,,no,,,un 10%,3,5,3,3,4,3,5,5,5,5,5,3
20/07/2023 9:33:01,,INC_J_BEG_01,19,F,´Primero,0,11,sí,más de dos años,no,sí,sí,sí,sí,sí,sí,"Como desde los 12 o 13 años, ya que una persona me dijo que se identificaba así, así que lo comencé a usar.",sí,un 50 %,no,un 25%,sí,un 25%,sí,un 25%,sí,más de 4,un 50 %,un 50 %,no,,nada,nada,sí,"por lo general me dirijo hacia mis amigos no binarios como ""elles"" o ""they/them"".",un 10%,no,,un 10%,un 10%,3,3,3,3,3,3,3,3,3,3,3,3
20/07/2023 9:33:40,,INC_J_ADV_05,24,M,OCTAVO,6,10,no,,no,a veces,sí,sí,sí,no,no,,no,,no,,no,,no,,sí,entre dos y 3,nada,nada,no,,nada,nada,sí,elle,un 10%,no,,,,1,1,1,1,1,1,2,1,1,1,1,3
20/07/2023 9:38:34,,INC_J_BEG_015,19,F,PRIMER,MEDIO AÑO,15,no,,no,no,no,no,sí,no,no,,no,,no,,no,,no,,no,,,,no,,,,no,,,no,,,,2,3,2,5,4,5,4,5,4,5,5,2
20/07/2023 9:39:30,,INC_J_BEG_016,19,F,Primer semestre,Primer año,13 años,no,,no,no,no,sí,sí,no,no,,no,,sí,un 10%,no,,no,,sí,entre dos y 3,un 25%,un 50 %,no,,,,sí,"nosotres, elles, elle",un 25%,no,,,un 10%,5,1,3,4,5,5,5,5,4,5,5,5
20/07/2023 9:41:47,,INC_J_ADV_06,27,F,9,8,"La primera vez fue cuando tenía 7 años, iba en segundo básico y me inscribí en un taller de inglés del colegio. Después tuve inglés como asignatura obligatoria desde 5to básico",no,,a veces,no,a veces,sí,sí,no,no,,no,,no,,no,,no,,sí,media hora,nada,un 50 %,no,,,,no,,,no,,,un 10%,3,1,3,3,2,3,3,1,1,3,1,2
30/08/2023 11:56:37,,ADV_EN_19,22,F,8,4,18,no,,no,no,yes,yes,no,yes,yes,20,sí,un 10%,sí,un 10%,no,,sí,un 25%,sí,más de 4,un 50 %,un 50 %,no,,un 25%,un 25%,sí,Elle se identifica como no-binarie. ,un 50 %,sí,Si elle me dice que quiere dibujar conmigo yo lo hago.,un 25%,un 25%,5,5,5,5,5,5,5,5,5,5,5,5
30/08/2023 11:57:38,,ADV_EN_18,21,M,8th semester,4,18,no,,no,no,no,yes,yes,yes,,18,no,,no,,sí,,sí,un 50 %,sí,entre dos y 3,un 25%,un 25%,no,,nada,nada,sí,"personas en vez de ellos o ellas, estudiantes en vez de alumno/a",un 25%,no,,,un 10%,5,5,5,5,5,5,4,5,5,5,5,4
30/08/2023 11:58:32,,ADV_EN_22,22,M,8th semester,4,15,no,,no,no,yes,yes,sometimes,yes,yes,"Hace dos años, pero lo he usado muy pocas veces",no,,no,,no,,no,,sí,entre 1 y dos horas,un 25%,un 25%,no,,nada,nada,no,,,no,,,un 10%,4,4,4,4,4,4,4,4,4,4,4,4
30/08/2023 12:05:43,,ADV_EN_17,21,Other,8 SEMESTER,4,17,no,,yes,no,yes,yes,yes,yes,yes,"I've started to integrating neutral languange when I was 19 years old, although I tend to use it in a more colloquial surrounding, inter alia, social media.",sí,un 10%,no,,no,,no,,sí,más de 4,un 25%,un 25%,no,,,,sí,A pesar de que su uso no es muy común he logrado leer un par de articulos feministas dónde se utiliza el lenguaje inclusivo para añadir disidencias sexuales.,un 10%,sí,"Trato de referirme a mis compañeros disidentes con lenguaje inclusivo, a la par, escribo en lenguaje inclusivo en contextos informales.",,,4,5,5,4,5,5,5,5,5,5,5,5
30/08/2023 12:10:57,,ADV_EN_23,26,F,2,4,22,no,,sometimes,no,no,yes,yes,no,no,,no,,no,,no,,no,,sí,media hora,nada,nada,sí,media hora,nada,100 %,no,,,no,,,,3,1,4,5,3,3,3,3,3,3,3,3
30/08/2023 12:11:04,,ADV_ENG_24,22,M,8TH,4,8,sí,between 1 to 3 weeks,no,no,yes,no,yes,yes,yes,When I started college,sí,un 25%,sí,un 25%,sí,un 25%,sí,un 10%,sí,entre dos y 3,nada,nada,no,,nada,nada,no,,,no,,,a 10%,5,2,2,4,4,5,3,3,3,5,3,2
30/08/2023 12:11:30,,ADV_EN_20,22,M,9 Semester,3,15,no,,sometimes,no,no,yes,sometimes,yes,no,At university while learning new vocabulary,sí,un 25%,sí,un 50 %,no,un 50 %,sí,un 50 %,sí,media hora,nada,nada,no,,,,no,,,no,,,,3,1,2,2,2,2,2,1,1,2,1,3
3/09/2023 18:02:30,,ADV_EN_16,25,M,8,4,20,no,,no,no,sometimes,yes,sometimes,yes,no,,no,10%,no,10%,no,10%,no,un 10%,yes,over 4 hours,25%,25%,no,,none,none,no,,10%,no,,a 10%,a 25%,2,3,5,2,4,2,4,2,2,2,2,4
6/09/2023 13:11:27,,ADV_EN_25,24,M,2 semester,1,23,no,,no,sometimes,no,sometimes,yes,no,yes,yes,no,,no,,no,,no,,yes,between 1 or 2 hours,25%,25%,no,,,,yes,elles,50 %,no,,,,3,3,2,2,3,2,3,3,2,3,3,3
6/09/2023 13:12:44,,ADV_EN_26,18,M,2,1,15,no,,no,no,yes,no,yes,yes,yes,"when i was chatting on discord, someone bring that topic to the coversation",no,,no,,no,,no,,yes,over 4 hours,75%,25%,no,,25%,25%,no,,,no,,,a 25%,3,5,3,5,4,3,5,5,5,5,5,5
6/09/2023 14:24:12,, ADV_EN_30,20,M,2nd semester,1,nineteen,sí,over two years,yes,sometimes,yes,no,yes,yes,yes,i don´t remember tbh,no,,no,,no,,yes,un 50 %,yes,over 4 hours,25%,25%,no,,none,25%,no,,,no,,,a 10%,3,3,1,1,3,1,1,3,3,3,3,3
6/09/2023 15:27:31,,ADV_EN_28,19,M,1st year 2nd semester,1 year in collegue,18 years old,no,,yes,yes,yes,yes,yes,no,no,,no,,no,,no,,no,,yes,between 2 or 3 hours,none,none,yes,half an hour,none,none,yes,"la frase ""esto es para elles""",10%,no,,,a 10%,5,5,2,1,1,4,1,5,4,5,4,2
12/09/2023 19:38:37,,32,22,M,2,1,four years old,no,,sometimes,sometimes,yes,no,sometimes,yes,yes,when i have 6 years old,no,,yes,50 %,yes,100 %,yes,un 75%,yes,half an hour,50 %,50 %,yes,half an hour,75%,75%,no,,,yes,mis amigos y amigos son muy sociables conmigo,a 75%,a 75%,4,4,4,5,5,5,5,5,5,5,5,5
14/09/2023 12:55:44,,INC_J_BEG_33,15,M,second semester,12,was the first language i learned so 3+,no,,no,no,yes,yes,yes,no,no,,yes,10%,no,,no,,no,,yes,over 4 hours,25%,25%,no,,none,none,no,,,no,,,a 25%,3,3,1,1,1,1,2,3,3,1,3,1
14/09/2023 13:01:47,,INC_J_BEG_32,15,F,english,0,6,no,,no,no,yes,yes,yes,yes,yes,"en la cuarentena estaba muy aburrida asique veia stremers que hablaban ingles, con el tiempo me acostumbre al lenguaje y ya",no,,no,,no,,yes,un 50 %,yes,over 4 hours,100 %,100 %,yes,over 4 hours,25%,50 %,yes,,100 %,yes,,100 %,100 %,5,5,5,5,5,5,5,5,5,5,5,4
23/11/2023 17:03:42,,ING_J_BEG_45,17,M,N,0,6,no,,no,no,no,no,no,no,no,,no,,no,,no,,no,,yes,half an hour,none,none,yes,between 1 or 2 hours,none,none,yes,NIÑES,25%,no,,,a 25%,2,1,2,2,2,2,2,2,2,2,2,2
23/11/2023 17:07:02,,ING_JBEG_38,19,M,1° y 2° enseñanza media ,0,,no,,no,no,no,no,no,no,no,,no,10%,no,10%,,10%,yes,un 10%,yes,between 1 or 2 hours,none,none,no,between 1 or 2 hours,none,none,,,,,,,,,,5,5,5,5,5,5,5,5,5,2
