Marca temporal,Puntuación,1. Participant's code,2. Age,Gender,"4. Spanish level. If you're a monolingual speaker of English or you have not acquired Spanish, please type N/A.",5.How many Spanish courses have you studied at the undergrad level?,6. How old were you when you started studying Spanish?,7. Have you lived in or visited a Spanish-speaking country?,"8. If the previous answer is yes, please select the more accurate option based on your experience",9. Do you use Spanish in the following situations? Please select the more accurate option based on your experience.  [interact with relatives],9. Do you use Spanish in the following situations? Please select the more accurate option based on your experience.  [interact with distant relatives],9. Do you use Spanish in the following situations? Please select the more accurate option based on your experience.  [interact with friends (outside the university)],9. Do you use Spanish in the following situations? Please select the more accurate option based on your experience.  [reading for fun],9. Do you use Spanish in the following situations? Please select the more accurate option based on your experience.  [watching movies (without subtitles) ],"10. Do you know how to use inclusive gender language in English? For example, the use of ""humankind"" instead of ""men"" or ""women"", or using ""they"" to refer to a person who self-perceives as non-binary.","11. Do you know how to use gender-neutral language? For instance, using ""they"" instead of ""he"" or ""she"" if you don't know the gender of a person or if the gender is not relevant in a sentence.","12. If the answer to questions 10 and 11 is yes, when (age) did you start using this kind of language?
",13. Do you listen to or read information in inclusive language on campus?,"14. If the previous answer is yes, what percentage of language includes gender-neutral language daily? [Content]",15. Do you listen to or read information in a neutral language on campus? ,"16. If the previous answer is yes, what percentage of language includes inclusive gender language daily? [Content]",17. Do you write or speak using inclusive language on campus? ,"18. If the previous answer is yes, what percentage of that content happens daily?  [contenido]",19.  Do you write or speak using gender-neutral language on campus? ,"20. If the previous answer is yes, what percentage of that content happens daily?  [contenido]",21. Do you read or listen to social media?,"22. If the previous answer is yes, what percentage of that content happens daily? ",23. How much of that content includes neutral-gender language daily when you listen to or read social media?  [content],"24. Do you make content (videos, podcasts, TikTok, etc.) on social networks?","25. If the previous answer is yes, what percentage of that content happens daily? ","26. When you make social media content, how much does that content have to do with inclusive-gender language? [content]",27.  Do you read or listen to social media in Spanish? ,"28. If you answer yes, can you give an example (or more) in Spanish?","29. If your answer to question 28 is yes, what percentage of that content happens daily? [Content]","30. Do you make content (videos, TikTok) in Spanish?  ","31.  If you answer yes, can you give an example (or more) in Spanish? ","32. If your answer to question 30 is yes, what percentage of that content happens daily?  [contenido]",33. Kate is tipsy because they had two drinks earlier.,34. James was studying by themself in the library yesterday.,35. Someone hit me. They were very strong.,36. Ruth is angry because they lost the job yesterday.,37. Someone scared me. They had a bloody face,38. Judy is confused because they lost the map earlier. ,39. Someone shushed me. They had an orange shirt on.,40. Scott was drinking by themself at the bar earlier.,41. Hugh was stretching by themself at the gym earlier. ,42. Martha is tired because they read two novels earlier.,43. Blake was fishing by themself in the river yesterday.,44. Someone photographed me. They had a watch on.
4/09/2023 19:32:26,,L2SPAN_2023_02,20,F,N/A,3,1,yes,between 1- 3 weeks,yes,yes,yes,sometimes,sometimes,yes,yes,A few years ago,yes,75%,yes,75%,yes,75%,yes,75%,yes,around 30 minutes,75%,no,,,,,,,,,2,2,5,2,5,4,5,2,2,2,2,5
6/09/2023 19:04:49,,L2SPAN_2023_25,20,F,344,7,10,yes,between 1- 2 months,no,no,no,no,sometimes,no,yes,19,no,,no,,no,,no,,yes,between 1-2 hours,25%,no,,,no,,,no,,,5,5,5,4,5,4,5,4,5,5,5,5
7/09/2023 15:06:02,,L2SPAN_2023_20,19,F,intermediate,on my third,11/12,yes,between 1- 3 weeks,no,no,no,no,sometimes,yes,yes,17/18,no,,no,,no,,yes,10%,yes,between 2-3 hours,25%,yes,around 30 minutes,0%,no,,,no,,,1,1,5,2,5,4,5,1,1,1,1,5
7/09/2023 16:52:23,,L2SPAN_2023_04,19,F,SPAN 313,3,13,yes,between 1- 3 weeks,no,no,no,sometimes,sometimes,yes,yes,12,yes,50 %,yes,25%,yes,10%,yes,25%,yes,more than 4 hours,50 %,no,,,no,,,no,,,4,3,5,4,4,4,5,4,4,5,4,5
8/09/2023 23:10:27,,L2SPAN_2023_41,19,F,Heritage Speaker,4,Since birth,yes,between 1- 2 months,yes,yes,yes,yes,yes,yes,yes,12 years old,yes,75%,yes,50 %,yes,50 %,yes,75%,yes,more than 4 hours,25%,yes,around 30 minutes,75%,yes,Univision Noticias,25%,no,,,5,5,5,4,5,4,5,4,4,5,4,5
10/09/2023 21:37:29,,L2SPAN_2023_46,21,F,Intermediate Speaker,6,6th grade,no,,no,no,sometimes,yes,yes,yes,yes,17,no,,no,,yes,10%,yes,10%,yes,between 1-2 hours,25%,no,,,yes,Escucho y miro a los TIkToks en español a veces,25%,no,,,5,5,5,5,5,5,5,5,5,5,5,5
10/09/2023 22:09:26,,L2SPAN_2023_05,20,F,intermediate low,4,13,no,,no,no,no,sometimes,sometimes,yes,yes,14,yes,50 %,yes,75%,yes,50 %,yes,50 %,yes,between 2-3 hours,50 %,no,,,yes,Miro las videos de Tiktok y tuit en español.,25%,no,,,5,5,5,3,4,5,4,4,4,5,4,5
11/09/2023 19:49:25,,L2SPAN-2023-19,19,F,313,4,11,no,,no,no,sometimes,sometimes,sometimes,yes,yes,~16,yes,50 %,yes,25%,yes,75%,yes,25%,yes,between 1-2 hours,50 %,no,,,no,,,no,,,5,5,5,5,5,5,5,5,5,5,5,5
11/09/2023 20:42:05,, L2SPAN_2023_12,19,F,313,3,15,yes,between 3-6 months,sometimes,sometimes,sometimes,yes,no,yes,yes,16,yes,50 %,yes,50 %,yes,75%,yes,75%,yes,between 1-2 hours,75%,no,,,yes,Famosos que yo sigo como Rosalia o Messi y tambien yo sigo personas que enseñar espanol. ,25%,no,,,5,5,5,4,5,4,5,5,5,5,5,5
11/09/2023 23:07:19,,L2SPAN_2023_53,19,F,318,3,13 years old,yes,between 1- 3 weeks,no,no,no,sometimes,sometimes,yes,yes,18,yes,75%,yes,100 %,yes,100 %,yes,100 %,yes,between 2-3 hours,50 %,yes,around 30 minutes,50 %,yes,tiktoks,10%,no,,,5,5,5,5,5,5,5,5,5,5,5,5
12/09/2023 21:40:18,,L2SPAN_2023_24,21,F,"Somewhat fluent, Senior Spanish Major",12-13,13,yes,between 1- 2 months,no,sometimes,no,no,no,no,no,N/A,no,,no,,no,,no,,yes,between 1-2 hours,0%,no,,,no,,,no,,,2,1,3,1,3,1,3,2,2,1,2,3
13/09/2023 9:59:18,,20215896,19,F,Intermediate ,4 counting this semester ,5th grade ,no,,no,no,sometimes,sometimes,sometimes,yes,yes,14,yes,50 %,yes,75%,yes,25%,yes,25%,yes,between 1-2 hours,75%,no,,,yes,sometimes i will watch reels or tiktoks in Spanish ,25%,no,,,5,5,5,5,5,5,5,5,5,5,5,5
13/09/2023 12:38:10,,L2SPAN_2023_28,21,F,intermediate ,9,7,yes,between 1- 3 weeks,sometimes,no,yes,yes,yes,yes,yes,19,yes,50 %,yes,25%,yes,50 %,no,,yes,between 1-2 hours,50 %,no,,,yes,escucho a los videos de Tik Tok en español y escribo a mis amigas en español a través del texto de mensaje. ,50 %,no,,,5,5,5,5,5,5,5,5,5,5,5,5
13/09/2023 14:26:47,,L2SPAN_2023_45,19,F,intermediate ,21 credit hours ,13,yes,between 1- 2 months,no,no,sometimes,no,sometimes,yes,yes,15,yes,50 %,yes,75%,yes,50 %,no,,yes,between 2-3 hours,25%,no,,,no,,,no,,,5,5,5,5,5,5,5,5,5,5,5,5
13/09/2023 19:22:33,,L2SPAN_2023_40,18,M,"I've been learning Spanish for 6 years & consider myself semi-fluent,",I'm a sophmore in college and am currently taking my 3 Spanish class in undergrad,13,no,,no,no,sometimes,no,sometimes,yes,yes,11,yes,100 %,yes,50 %,yes,100 %,yes,100 %,yes,between 1-2 hours,100 %,no,,,yes,I often watch Instagram Reels in Spanish.,10%,no,,,5,5,5,5,5,5,5,5,5,5,5,5
