Marca temporal,Puntuación,1. Participant's code,2. Age,Gender,"4. Spanish level. If you're a monolingual speaker of English or you have not acquired Spanish, please type N/A.",5.How many Spanish courses have you studied at the undergrad level?,6. How old were you when you started studying Spanish?,7. Have you lived in or visited a Spanish-speaking country?,"8. If the previous answer is yes, please select the more accurate option based on your experience",9. Do you use Spanish in the following situations? Please select the more accurate option based on your experience.  [interact with relatives],9. Do you use Spanish in the following situations? Please select the more accurate option based on your experience.  [interact with distant relatives],9. Do you use Spanish in the following situations? Please select the more accurate option based on your experience.  [interact with friends (outside the university)],9. Do you use Spanish in the following situations? Please select the more accurate option based on your experience.  [reading for fun],9. Do you use Spanish in the following situations? Please select the more accurate option based on your experience.  [watching movies (without subtitles) ],"10. Do you know how to use inclusive gender language in English? For example, the use of ""humankind"" instead of ""men"" or ""women"", or using ""they"" to refer to a person who self-perceives as non-binary.","11. Do you know how to use gender-neutral language? For instance, using ""they"" instead of ""he"" or ""she"" if you don't know the gender of a person or if the gender is not relevant in a sentence.","12. If the answer to questions 10 and 11 is yes, when (age) did you start using this kind of language?
",13. Do you listen to or read information in inclusive language on campus?,"14. If the previous answer is yes, what percentage of language includes gender-neutral language daily? [Content]",15. Do you listen to or read information in a neutral language on campus? ,"16. If the previous answer is yes, what percentage of language includes inclusive gender language daily? [Content]",17. Do you write or speak using inclusive language on campus? ,"18. If the previous answer is yes, what percentage of that content happens daily?  [contenido]",19.  Do you write or speak using gender-neutral language on campus? ,"20. If the previous answer is yes, what percentage of that content happens daily?  [contenido]",21. Do you read or listen to social media?,"22. If the previous answer is yes, what percentage of that content happens daily? ",23. How much of that content includes neutral-gender language daily when you listen to or read social media?  [content],"24. Do you make content (videos, podcasts, TikTok, etc.) on social networks?","25. If the previous answer is yes, what percentage of that content happens daily? ","26. When you make social media content, how much does that content have to do with inclusive-gender language? [content]",27.  Do you read or listen to social media in Spanish? ,"28. If you answer yes, can you give an example (or more) in Spanish?","29. If your answer to question 28 is yes, what percentage of that content happens daily? [Content]","30. Do you make content (videos, TikTok) in Spanish?  ","31.  If you answer yes, can you give an example (or more) in Spanish? ","32. If your answer to question 30 is yes, what percentage of that content happens daily?  [contenido]",33. Kate is tipsy because they had two drinks earlier.,34. James was studying by themself in the library yesterday.,35. Someone hit me. They were very strong.,36. Ruth is angry because they lost the job yesterday.,37. Someone scared me. They had a bloody face,38. Judy is confused because they lost the map earlier. ,39. Someone shushed me. They had an orange shirt on.,40. Scott was drinking by themself at the bar earlier.,41. Hugh was stretching by themself at the gym earlier. ,42. Martha is tired because they read two novels earlier.,43. Blake was fishing by themself in the river yesterday.,44. Someone photographed me. They had a watch on.
13/09/2023 21:02:19,,L2SPAN_2023_29,20,F,Advanced/2nd language Heritage speaker,5,12,yes,between 1- 2 months,yes,yes,sometimes,no,sometimes,yes,yes,17,yes,50 %,yes,50 %,yes,50 %,yes,50 %,yes,between 2-3 hours,50 %,no,,,yes,"memes, music",25%,no,,,5,5,5,5,5,5,5,5,5,5,5,5
13/09/2023 21:46:22,,L2SPAN_2023_49,20,F,381,7,14,yes,between 1- 2 months,no,no,no,no,no,no,no,n/a,no,,no,,no,,no,,yes,between 1-2 hours,0%,no,,0%,no,,,no,,,5,2,5,1,5,2,5,2,2,2,2,2
14/09/2023 17:24:54,,L2SPAN_2023_26,20,F,N/A,5,5,yes,between 1- 2 months,no,no,yes,yes,yes,yes,yes,19,no,,no,,no,,no,,yes,between 1-2 hours,75%,no,,,yes,"Cuando voy a una caminata, escucho a un podcast y musica por artistas como Bad Bunny, Tiny, Quevedo. También, leo periódicos sobre la ecónoma de America central y sur y España. ",50 %,no,,,1,1,5,1,5,1,5,1,1,1,1,5
14/09/2023 22:27:18,,L2SPAN_2023_47,20,F,proficient,10,3,yes,between 1- 2 months,no,no,yes,no,yes,yes,yes,15,yes,10%,yes,10%,no,,no,,yes,between 1-2 hours,0%,no,,,no,,,no,,,1,1,3,5,1,5,3,1,1,3,1,3
15/09/2023 0:44:21,,L2SPAN_2023_63,19,F,317,3,13,yes,more than two years,sometimes,no,yes,yes,yes,yes,yes,12,yes,50 %,yes,50 %,yes,50 %,yes,50 %,yes,between 1-2 hours,25%,yes,around 30 minutes,25%,yes,"El cuento instagram de los anuncios de Guatemala, siempre empezo mi dia con los anuncios",50 %,no,,25%,4,4,5,4,5,4,5,4,4,4,4,5
15/09/2023 1:23:37,,L2SPAN_2023_44,19,F,Intermediate,9,3,yes,between 1- 2 months,no,no,sometimes,no,no,yes,yes,17,no,,no,,no,,no,,yes,around 30 minutes,25%,yes,around 30 minutes,0%,no,,,no,,,5,5,5,4,5,5,5,4,4,4,4,5
15/09/2023 10:51:02,,L2SPAN_2023_42,20,F,Level 3 (high intermdiate-advanced),5 (including current semester),"6 or 7, but not seriously until 16",no,,no,no,sometimes,sometimes,no,yes,yes,"unsure, within the past few years",no,,yes,25%,yes,10%,yes,50 %,yes,around 30 minutes,50 %,no,,,no,,,no,,,4,3,5,4,5,4,5,4,4,4,4,5
15/09/2023 11:26:07,,L2SPAN_2023_36,21,F,400 level classes ,11,12,yes,between 3-6 months,no,no,sometimes,sometimes,no,yes,yes,18,yes,10%,yes,10%,no,,no,,yes,between 1-2 hours,25%,no,,25%,yes,"my phone is in spanish mode, so I read google on spanish ",10%,no,,,2,2,4,1,5,1,3,1,1,2,1,5
15/09/2023 14:32:58,,L2SPAN_2023_30,21,F,Intermediate,12,18,yes,between 3-6 months,sometimes,no,yes,no,no,no,no,NA,yes,50 %,yes,25%,yes,10%,no,,yes,between 1-2 hours,25%,no,,,no,"Una creatora de videos cortos en mi Instagram reels que me gusta se llama ""ssoleon"". Hay otras personas que hablan español en mi media social que me gustan mucho.",10%,no,,,3,1,5,5,5,5,5,1,1,5,1,5
15/09/2023 17:39:48,,L2SPAN_2023_74,19,F,"300 level classes, conversationally fluent ",3,5,yes,between 1- 3 weeks,no,no,no,no,no,yes,yes,15/16,yes,25%,yes,25%,yes,75%,yes,50 %,yes,between 1-2 hours,50 %,no,,,yes,Sometimes I watch tik toks in Spanish,10%,no,,,4,4,5,4,5,4,5,4,4,4,4,5
15/09/2023 22:29:57,,L2SPAN_2023_70,20,F,moderate; 300 level course,5,8,yes,between 1- 2 months,no,no,no,sometimes,no,yes,yes,18,yes,75%,no,,yes,50 %,yes,50 %,yes,around 30 minutes,25%,no,,,no,,,no,,,3,3,3,2,3,2,3,2,2,2,1,3
16/09/2023 0:04:50,,L2SPAN_2023_27,19,F,advanced ,6/7,14,yes,between 3-6 months,sometimes,no,yes,yes,yes,yes,yes,17/18,yes,10%,yes,10%,yes,10%,yes,10%,yes,between 1-2 hours,25%,yes,around 30 minutes,25%,yes,I have a lot of hispanic and spanish friends and follow a lot of hispanic and spanish famous people,50 %,no,,,4,2,4,4,4,4,4,3,3,4,3,4
16/09/2023 16:16:39,,L2SPAN_2023_82,20,F,310,4,6-7th grade ,no,,sometimes,yes,yes,no,no,yes,yes,highschool ,yes,50 %,yes,25%,yes,50 %,yes,25%,yes,between 2-3 hours,50 %,no,,,no,,,no,,,4,4,5,4,5,4,5,3,3,4,3,5
17/09/2023 22:08:32,,L2SPAN_2023_68,19,F,Advanced,3,8,yes,between 1- 3 weeks,no,no,no,yes,no,yes,yes,14,yes,25%,yes,50 %,no,,yes,10%,yes,between 1-2 hours,25%,no,,,yes,Occasional tiktoks in Spanish,10%,no,,,5,5,5,5,5,5,5,5,5,5,5,5
17/09/2023 22:35:58,,L2SPAN_2023_73,19,F,310,3,14,yes,between 1- 3 weeks,no,no,sometimes,yes,sometimes,yes,yes,14,yes,50 %,yes,50 %,yes,50 %,yes,50 %,no,,0%,no,,,no,,,no,,,3,3,5,3,3,3,5,3,3,3,3,5
17/09/2023 22:57:25,,L2SPAN_2023_77,20,F,In the middle of A2 to B1,5,16,no,,no,no,no,sometimes,no,yes,yes,12,yes,25%,yes,50 %,yes,25%,yes,50 %,yes,between 1-2 hours,25%,no,,0%,no,,,no,,,5,4,5,1,5,5,5,5,5,5,5,5
18/09/2023 0:39:06,,ENGNATIVE_2023_04,20,F,N/A,N/A,N/A,yes,between 1- 3 weeks,no,no,no,no,no,yes,yes,18,yes,50 %,yes,25%,yes,10%,yes,10%,yes,between 1-2 hours,25%,no,,,no,,,no,,,5,5,5,5,3,5,5,5,5,5,5,3
